docid	eid	eiid	id
AP900815-0044	177	1652	112
AP900815-0044	178	1653	113
AP900815-0044	180	1655	114
AP900815-0044	181	1656	115
AP900815-0044	182	1657	116
AP900815-0044	183	1658	117
AP900815-0044	184	1659	118
AP900815-0044	185	1660	119
AP900815-0044	186	1661	120
AP900815-0044	187	1662	121
AP900815-0044	190	1663	122
AP900815-0044	1078	1664	123
AP900815-0044	193	1665	124
AP900815-0044	196	1666	125
AP900815-0044	198	1667	126
AP900815-0044	199	1668	127
AP900815-0044	200	1669	128
AP900815-0044	201	1670	129
AP900815-0044	202	1671	130
AP900815-0044	203	1672	131
AP900815-0044	206	1673	132
AP900815-0044	207	1674	133
AP900815-0044	208	1675	134
AP900815-0044	209	1676	135
AP900815-0044	211	1677	136
AP900815-0044	214	1678	137
AP900815-0044	216	1679	138
AP900815-0044	217	1680	139
AP900815-0044	218	1681	140
AP900815-0044	219	1682	141
AP900815-0044	220	1683	142
AP900815-0044	221	1684	143
AP900815-0044	223	1685	144
AP900815-0044	225	1686	145
AP900815-0044	230	1689	146
AP900815-0044	231	1690	147
AP900815-0044	232	1691	148
AP900815-0044	234	1693	149
AP900815-0044	235	1694	150
AP900815-0044	236	1695	151
AP900815-0044	238	1697	152
AP900815-0044	240	1698	153
AP900815-0044	241	1699	154
AP900815-0044	242	1700	155
AP900815-0044	244	1702	156
AP900815-0044	245	1703	157
AP900815-0044	246	1704	158
AP900815-0044	247	1705	159
AP900815-0044	249	1707	160
AP900815-0044	253	1709	161
AP900815-0044	254	1710	162
AP900815-0044	255	1711	163
AP900815-0044	256	1712	164
AP900815-0044	257	1713	165
AP900815-0044	258	1714	166
AP900815-0044	259	1715	167
AP900815-0044	260	1716	168
AP900815-0044	261	1717	169
AP900815-0044	262	1718	170
AP900815-0044	263	1719	171
AP900815-0044	266	1721	172
AP900815-0044	267	1722	173
AP900815-0044	268	1723	174
AP900815-0044	273	1725	175
AP900815-0044	274	1726	176
AP900815-0044	279	1728	177
AP900815-0044	281	1730	178
AP900815-0044	283	1732	179
AP900815-0044	284	1733	180
AP900815-0044	285	1734	181
AP900815-0044	290	1736	182
AP900815-0044	291	1737	183
AP900815-0044	292	1738	184
AP900815-0044	293	1739	185
AP900815-0044	294	1740	186
AP900815-0044	295	1741	187
AP900815-0044	296	1742	188
AP900815-0044	297	1743	189
AP900816-0139	199	1522	0
AP900816-0139	1	1523	1
AP900816-0139	3	1524	2
AP900816-0139	4	1526	3
AP900816-0139	202	1528	4
AP900816-0139	5	1529	5
AP900816-0139	7	1531	6
AP900816-0139	8	1532	7
AP900816-0139	11	1533	8
AP900816-0139	12	1534	9
AP900816-0139	205	1536	10
AP900816-0139	206	1537	11
AP900816-0139	207	1538	12
AP900816-0139	13	1539	13
AP900816-0139	208	1540	14
AP900816-0139	209	1541	15
AP900816-0139	210	1542	16
AP900816-0139	14	1543	17
AP900816-0139	15	1544	18
AP900816-0139	17	1546	19
AP900816-0139	19	1547	20
AP900816-0139	20	1548	21
AP900816-0139	21	1549	22
AP900816-0139	213	1550	23
AP900816-0139	25	1551	24
AP900816-0139	26	1553	25
AP900816-0139	29	1555	26
AP900816-0139	216	1556	27
AP900816-0139	30	1557	28
AP900816-0139	217	1558	29
AP900816-0139	220	1560	30
AP900816-0139	32	1561	31
AP900816-0139	33	1562	32
AP900816-0139	35	1566	33
AP900816-0139	36	1567	34
AP900816-0139	37	1569	35
AP900816-0139	38	1570	36
AP900816-0139	39	1571	37
AP900816-0139	40	1572	38
AP900816-0139	41	1573	39
AP900816-0139	42	1574	40
AP900816-0139	43	1575	41
AP900816-0139	225	1576	42
AP900816-0139	44	1577	43
AP900816-0139	45	1578	44
AP900816-0139	47	1579	45
AP900816-0139	227	1581	46
AP900816-0139	48	1582	47
AP900816-0139	49	1583	48
AP900816-0139	51	1586	49
AP900816-0139	52	1587	50
AP900816-0139	53	1589	51
AP900816-0139	54	1590	52
AP900816-0139	55	1591	53
AP900816-0139	239	1594	54
AP900816-0139	56	1595	55
AP900816-0139	1507	1742	56
AP900816-0139	237	1597	57
AP900816-0139	57	1598	58
AP900816-0139	58	1600	59
AP900816-0139	242	1601	60
AP900816-0139	59	1602	61
AP900816-0139	61	1603	62
AP900816-0139	320	1604	63
AP900816-0139	63	1605	64
AP900816-0139	64	1606	65
AP900816-0139	65	1607	66
AP900816-0139	67	1609	67
AP900816-0139	69	1610	68
AP900816-0139	70	1611	69
AP900816-0139	71	1612	70
AP900816-0139	72	1614	71
AP900816-0139	73	1615	72
AP900816-0139	76	1617	73
AP900816-0139	246	1618	74
AP900816-0139	77	1619	75
AP900816-0139	78	1621	76
AP900816-0139	80	1622	77
AP900816-0139	83	1624	78
AP900816-0139	249	1625	79
AP900816-0139	84	1626	80
AP900816-0139	250	1627	81
AP900816-0139	251	1628	82
AP900816-0139	85	1630	83
AP900816-0139	86	1631	84
AP900816-0139	87	1632	85
AP900816-0139	89	1633	86
AP900816-0139	90	1635	87
AP900816-0139	91	1636	88
AP900816-0139	253	1637	89
AP900816-0139	254	1638	90
AP900816-0139	95	1639	91
AP900816-0139	96	1640	92
AP900816-0139	97	1641	93
AP900816-0139	98	1642	94
AP900816-0139	99	1643	95
AP900816-0139	255	1644	96
AP900816-0139	256	1645	97
AP900816-0139	102	1646	98
AP900816-0139	103	1647	99
AP900816-0139	104	1648	100
AP900816-0139	257	1649	101
AP900816-0139	107	1650	102
AP900816-0139	109	1651	103
AP900816-0139	110	1652	104
AP900816-0139	111	1653	105
AP900816-0139	258	1654	106
AP900816-0139	114	1655	107
AP900816-0139	115	1656	108
AP900816-0139	117	1657	109
AP900816-0139	1138	1658	110
AP900816-0139	122	1659	111
AP900816-0139	259	1660	112
AP900816-0139	123	1661	113
AP900816-0139	125	1663	114
AP900816-0139	126	1664	115
AP900816-0139	261	1665	116
AP900816-0139	127	1666	117
AP900816-0139	128	1667	118
AP900816-0139	129	1668	119
AP900816-0139	262	1669	120
AP900816-0139	263	1670	121
AP900816-0139	1214	1671	122
AP900816-0139	134	1672	123
AP900816-0139	135	1673	124
AP900816-0139	136	1674	125
AP900816-0139	137	1675	126
AP900816-0139	138	1676	127
AP900816-0139	139	1677	128
AP900816-0139	140	1679	129
AP900816-0139	266	1680	130
AP900816-0139	142	1681	131
AP900816-0139	267	1682	132
AP900816-0139	143	1683	133
AP900816-0139	144	1684	134
AP900816-0139	145	1685	135
AP900816-0139	147	1686	136
AP900816-0139	148	1687	137
AP900816-0139	149	1688	138
AP900816-0139	1307	1690	139
AP900816-0139	1306	1692	140
AP900816-0139	152	1694	141
AP900816-0139	153	1695	142
AP900816-0139	156	1697	143
AP900816-0139	158	1698	144
AP900816-0139	159	1699	145
AP900816-0139	161	1701	146
AP900816-0139	165	1703	147
AP900816-0139	166	1704	148
AP900816-0139	271	1705	149
AP900816-0139	169	1706	150
AP900816-0139	272	1707	151
AP900816-0139	170	1708	152
AP900816-0139	171	1709	153
AP900816-0139	173	1710	154
AP900816-0139	175	1711	155
AP900816-0139	274	1712	156
AP900816-0139	177	1714	157
AP900816-0139	276	1715	158
AP900816-0139	178	1716	159
AP900816-0139	179	1717	160
AP900816-0139	180	1718	161
AP900816-0139	3000	0	162
AP900816-0139	278	1720	163
AP900816-0139	185	1721	164
AP900816-0139	186	1722	165
AP900816-0139	279	1723	166
AP900816-0139	188	1724	167
AP900816-0139	189	1725	168
AP900816-0139	280	1727	169
AP900816-0139	190	1728	170
AP900816-0139	282	1729	171
AP900816-0139	192	1730	172
AP900816-0139	193	1731	173
AP900816-0139	283	1732	174
AP900816-0139	194	1733	175
AP900816-0139	195	1736	176
AP900816-0139	286	1737	177
AP900816-0139	198	1738	178
APW19980213.1310	1	2000	0
APW19980213.1310	2	2001	1
APW19980213.1310	4	2002	2
APW19980213.1310	5	2003	3
APW19980213.1310	7	2004	4
APW19980213.1310	9	2006	5
APW19980213.1310	10	2007	6
APW19980213.1310	11	2008	7
APW19980213.1310	12	2009	8
APW19980213.1310	13	2010	9
APW19980213.1310	14	2011	10
APW19980213.1310	15	2012	11
APW19980213.1310	16	2013	12
APW19980213.1310	17	2014	13
APW19980213.1310	18	2015	14
APW19980213.1310	19	2016	15
APW19980213.1310	21	2017	16
APW19980213.1310	24	2019	17
APW19980213.1310	25	2020	18
APW19980213.1310	26	2021	19
APW19980213.1310	27	2022	20
APW19980213.1310	28	2023	21
APW19980213.1310	30	2024	22
APW19980213.1310	31	2025	23
APW19980213.1310	32	2026	24
APW19980213.1310	33	2027	25
APW19980213.1310	35	2028	26
APW19980213.1310	36	2029	27
APW19980213.1310	37	2030	28
APW19980213.1310	41	2032	29
APW19980213.1310	115	2033	30
APW19980213.1310	42	2034	31
APW19980213.1310	43	2035	32
APW19980213.1310	45	2036	33
APW19980213.1310	46	2037	34
APW19980213.1310	48	2038	35
APW19980213.1310	49	2039	36
APW19980213.1310	50	2040	37
APW19980213.1310	51	2041	38
APW19980213.1310	52	2042	39
APW19980213.1310	53	2043	40
APW19980213.1310	3000	0	41
APW19980213.1310	58	2046	42
APW19980213.1310	319	2047	43
APW19980213.1310	62	2049	44
APW19980213.1310	64	2051	45
APW19980213.1310	65	2052	46
APW19980213.1310	66	2055	47
APW19980213.1310	374	2056	48
APW19980213.1310	67	2057	49
APW19980213.1310	68	2058	50
APW19980213.1310	69	2059	51
APW19980213.1310	387	2060	52
APW19980213.1310	70	2061	53
APW19980213.1310	72	2062	54
APW19980213.1310	73	2063	55
APW19980213.1310	75	2065	56
APW19980213.1310	78	2067	57
APW19980213.1310	79	2069	58
APW19980213.1310	82	2070	59
APW19980213.1310	85	2071	60
APW19980213.1310	86	2072	61
APW19980213.1310	87	2073	62
APW19980213.1310	88	2074	63
APW19980213.1310	95	2076	64
APW19980213.1310	97	2077	65
APW19980213.1310	98	2078	66
APW19980213.1310	99	2079	67
APW19980213.1320	1	321	0
APW19980213.1320	2	322	1
APW19980213.1320	26	324	2
APW19980213.1320	28	325	3
APW19980213.1320	5	326	4
APW19980213.1320	30	328	5
APW19980213.1320	7	329	6
APW19980213.1320	8	331	7
APW19980213.1320	9	334	8
APW19980213.1320	10	336	9
APW19980213.1320	11	338	10
APW19980213.1320	12	340	11
APW19980213.1320	65	341	12
APW19980213.1320	14	342	13
APW19980213.1320	16	344	14
APW19980213.1320	17	345	15
APW19980213.1320	18	346	16
APW19980213.1320	20	348	17
APW19980213.1320	21	349	18
APW19980213.1320	22	350	19
APW19980213.1320	25	352	20
APW19980213.1380	1	305	0
APW19980213.1380	2	307	1
APW19980213.1380	3	308	2
APW19980213.1380	4	310	3
APW19980213.1380	6	313	4
APW19980213.1380	8	314	5
APW19980213.1380	9	315	6
APW19980213.1380	10	316	7
APW19980213.1380	11	317	8
APW19980213.1380	12	318	9
APW19980213.1380	13	319	10
APW19980213.1380	47	321	11
APW19980213.1380	14	322	12
APW19980213.1380	15	323	13
APW19980213.1380	48	324	14
APW19980213.1380	50	325	15
APW19980213.1380	17	326	16
APW19980213.1380	51	327	17
APW19980213.1380	18	328	18
APW19980213.1380	20	329	19
APW19980213.1380	21	330	20
APW19980213.1380	22	331	21
APW19980213.1380	23	332	22
APW19980213.1380	25	333	23
APW19980213.1380	26	334	24
APW19980213.1380	27	335	25
APW19980213.1380	28	336	26
APW19980213.1380	29	337	27
APW19980213.1380	276	338	28
APW19980219.0476	1	2455	0
APW19980219.0476	2	2456	1
APW19980219.0476	4	2457	2
APW19980219.0476	5	2458	3
APW19980219.0476	146	2459	4
APW19980219.0476	7	2460	5
APW19980219.0476	9	2461	6
APW19980219.0476	10	2462	7
APW19980219.0476	12	2463	8
APW19980219.0476	14	2464	9
APW19980219.0476	15	2465	10
APW19980219.0476	148	2466	11
APW19980219.0476	18	2468	12
APW19980219.0476	150	2469	13
APW19980219.0476	21	2470	14
APW19980219.0476	22	2471	15
APW19980219.0476	23	2472	16
APW19980219.0476	24	2473	17
APW19980219.0476	26	2474	18
APW19980219.0476	27	2475	19
APW19980219.0476	28	2476	20
APW19980219.0476	30	2477	21
APW19980219.0476	31	2478	22
APW19980219.0476	32	2479	23
APW19980219.0476	33	2480	24
APW19980219.0476	40	2487	25
APW19980219.0476	41	2488	26
APW19980219.0476	42	2489	27
APW19980219.0476	2446	2490	28
APW19980219.0476	48	2491	29
APW19980219.0476	49	2492	30
APW19980219.0476	52	2493	31
APW19980219.0476	53	2494	32
APW19980219.0476	55	2495	33
APW19980219.0476	2447	2543	34
APW19980219.0476	56	2497	35
APW19980219.0476	58	2498	36
APW19980219.0476	59	2499	37
APW19980219.0476	64	2500	38
APW19980219.0476	160	2501	39
APW19980219.0476	65	2502	40
APW19980219.0476	66	2503	41
APW19980219.0476	68	2504	42
APW19980219.0476	69	2505	43
APW19980219.0476	71	2506	44
APW19980219.0476	72	2507	45
APW19980219.0476	162	2508	46
APW19980219.0476	76	2509	47
APW19980219.0476	78	2510	48
APW19980219.0476	79	2511	49
APW19980219.0476	80	2512	50
APW19980219.0476	83	2513	51
APW19980219.0476	85	2514	52
APW19980219.0476	2227	2515	53
APW19980219.0476	87	2516	54
APW19980219.0476	88	2517	55
APW19980219.0476	89	2518	56
APW19980219.0476	164	2519	57
APW19980219.0476	2396	2520	58
APW19980219.0476	90	2521	59
APW19980219.0476	91	2522	60
APW19980219.0476	93	2523	61
APW19980219.0476	94	2524	62
APW19980219.0476	95	2525	63
APW19980219.0476	166	2526	64
APW19980219.0476	96	2527	65
APW19980219.0476	98	2528	66
APW19980219.0476	99	2529	67
APW19980219.0476	101	2530	68
APW19980219.0476	103	2531	69
APW19980219.0476	104	2532	70
APW19980219.0476	105	2533	71
APW19980219.0476	2448	2544	72
APW19980219.0476	106	2535	73
APW19980219.0476	109	2536	74
APW19980219.0476	110	2537	75
APW19980219.0476	111	2538	76
APW19980219.0476	112	2539	77
APW19980219.0476	116	2540	78
APW19980219.0476	117	2541	79
APW19980219.0476	118	2542	80
APW19980227.0468	1	104	0
APW19980227.0468	2	116	1
APW19980227.0468	3	107	2
APW19980227.0468	6	108	3
APW19980227.0468	91	109	4
APW19980227.0468	55	110	5
APW19980227.0468	7	111	6
APW19980227.0468	8	112	7
APW19980227.0468	9	113	8
APW19980227.0468	10	114	9
APW19980227.0468	79	115	10
APW19980227.0476	1	2091	0
APW19980227.0476	1996	2092	1
APW19980227.0476	2	2093	2
APW19980227.0476	1997	2094	3
APW19980227.0476	3	2095	4
APW19980227.0476	4	2096	5
APW19980227.0476	5	2097	6
APW19980227.0476	6	2098	7
APW19980227.0476	8	2099	8
APW19980227.0476	1998	2100	9
APW19980227.0476	9	2101	10
APW19980227.0476	10	2102	11
APW19980227.0476	1999	2103	12
APW19980227.0476	12	2104	13
APW19980227.0476	13	2105	14
APW19980227.0476	14	2107	15
APW19980227.0476	15	2108	16
APW19980227.0476	16	2109	17
CNN19980222.1130.0084	1	156	0
CNN19980222.1130.0084	2	157	1
CNN19980222.1130.0084	4	158	2
CNN19980222.1130.0084	96	159	3
CNN19980222.1130.0084	5	160	4
CNN19980222.1130.0084	6	162	5
CNN19980222.1130.0084	7	163	6
CNN19980222.1130.0084	8	164	7
CNN19980222.1130.0084	35	165	8
CNN19980222.1130.0084	9	166	9
CNN19980222.1130.0084	73	167	10
CNN19980222.1130.0084	129	168	11
CNN19980222.1130.0084	46	169	12
CNN19980222.1130.0084	13	170	13
CNN19980222.1130.0084	140	171	14
CNN19980222.1130.0084	14	172	15
CNN19980227.2130.0067	4	1998	0
CNN19980227.2130.0067	91	1999	1
CNN19980227.2130.0067	6	2000	2
CNN19980227.2130.0067	8	2001	3
CNN19980227.2130.0067	11	2003	4
CNN19980227.2130.0067	12	2004	5
CNN19980227.2130.0067	149	2005	6
CNN19980227.2130.0067	16	2006	7
CNN19980227.2130.0067	17	2007	8
CNN19980227.2130.0067	98	2008	9
CNN19980227.2130.0067	22	2009	10
CNN19980227.2130.0067	23	2010	11
CNN19980227.2130.0067	25	2011	12
CNN19980227.2130.0067	27	2012	13
CNN19980227.2130.0067	28	2013	14
CNN19980227.2130.0067	30	2014	15
CNN19980227.2130.0067	33	2015	16
CNN19980227.2130.0067	34	2016	17
CNN19980227.2130.0067	36	2017	18
CNN19980227.2130.0067	37	2018	19
CNN19980227.2130.0067	38	2019	20
CNN19980227.2130.0067	42	2020	21
CNN19980227.2130.0067	44	2021	22
CNN19980227.2130.0067	45	2022	23
CNN19980227.2130.0067	101	2023	24
CNN19980227.2130.0067	46	2024	25
CNN19980227.2130.0067	49	2025	26
CNN19980227.2130.0067	53	2028	27
CNN19980227.2130.0067	54	2030	28
CNN19980227.2130.0067	55	2031	29
CNN19980227.2130.0067	105	2032	30
CNN19980227.2130.0067	106	2034	31
CNN19980227.2130.0067	61	2035	32
CNN19980227.2130.0067	63	2036	33
CNN19980227.2130.0067	64	2037	34
CNN19980227.2130.0067	66	2038	35
CNN19980227.2130.0067	109	2039	36
CNN19980227.2130.0067	67	2040	37
CNN19980227.2130.0067	68	2041	38
CNN19980227.2130.0067	69	2042	39
CNN19980227.2130.0067	72	2043	40
CNN19980227.2130.0067	73	2045	41
CNN19980227.2130.0067	74	2046	42
CNN19980227.2130.0067	76	2047	43
CNN19980227.2130.0067	77	2048	44
CNN19980227.2130.0067	111	2049	45
CNN19980227.2130.0067	79	2050	46
CNN19980227.2130.0067	80	2051	47
CNN19980227.2130.0067	82	2052	48
NYT19980206.0460	1	2184	0
NYT19980206.0460	4	2185	1
NYT19980206.0460	6	2186	2
NYT19980206.0460	7	2187	3
NYT19980206.0460	224	2188	4
NYT19980206.0460	228	2189	5
NYT19980206.0460	9	2190	6
NYT19980206.0460	10	2191	7
NYT19980206.0460	12	2192	8
NYT19980206.0460	15	2193	9
NYT19980206.0460	17	2194	10
NYT19980206.0460	229	2195	11
NYT19980206.0460	231	2196	12
NYT19980206.0460	20	2197	13
NYT19980206.0460	23	2198	14
NYT19980206.0460	24	2199	15
NYT19980206.0460	26	2200	16
NYT19980206.0460	2018	2201	17
NYT19980206.0460	27	2202	18
NYT19980206.0460	28	2203	19
NYT19980206.0460	30	2204	20
NYT19980206.0460	31	2205	21
NYT19980206.0460	32	2206	22
NYT19980206.0460	34	2207	23
NYT19980206.0460	35	2208	24
NYT19980206.0460	37	2209	25
NYT19980206.0460	232	2210	26
NYT19980206.0460	39	2211	27
NYT19980206.0460	40	2212	28
NYT19980206.0460	41	2213	29
NYT19980206.0460	43	2214	30
NYT19980206.0460	44	2215	31
NYT19980206.0460	45	2216	32
NYT19980206.0460	46	2217	33
NYT19980206.0460	47	2218	34
NYT19980206.0460	52	2220	35
NYT19980206.0460	53	2221	36
NYT19980206.0460	55	2222	37
NYT19980206.0460	57	2223	38
NYT19980206.0460	61	2224	39
NYT19980206.0460	246	2225	40
NYT19980206.0460	62	2226	41
NYT19980206.0460	63	2227	42
NYT19980206.0460	65	2228	43
NYT19980206.0460	66	2229	44
NYT19980206.0460	69	2230	45
NYT19980206.0460	70	2231	46
NYT19980206.0460	250	2232	47
NYT19980206.0460	72	2233	48
NYT19980206.0460	75	2234	49
NYT19980206.0460	78	2235	50
NYT19980206.0460	395	2236	51
NYT19980206.0460	81	2237	52
NYT19980206.0460	85	2238	53
NYT19980206.0460	89	2239	54
NYT19980206.0460	251	2240	55
NYT19980206.0460	93	2241	56
NYT19980206.0460	95	2242	57
NYT19980206.0460	96	2243	58
