docid,text_quang,text_us,QuangAnnotation,ProposedEvent1,ProposedEvent2,ProposedTlink
2010.01.01.iran.moussavi,""" When he maintains that 'even if I do n't <issue> a statement , the people will take to the streets regardless , ' this shows that even before Ashura , those people took to the streets based on his <statements> . ",""" When he <e59:maintains> that'even if I do n't <e60:issue> a statement , the people will take to the streets regardless , ' this shows that even before Ashura , those people <e62:took> to the streets <e63:based> on his statements . ",issue causes statements,,,
2010.01.01.iran.moussavi,"In one video -- shot Sunday , according to the posting on the Web site YouTube -- green-and-white police trucks <speed> into crowds of demonstrators in Tehran .  Most of the protesters attempt to <scatter> , but one truck drives into a group trapped in a narrow street . ","In one video -- shot Sunday , according to the posting on the Web site YouTube -- green-and-white police trucks speed into crowds of demonstrators in Tehran . Most of the protesters <e18:attempt> to scatter , but one truck drives into a group <e21:trapped> in a narrow street . ",speed causes scatter,,,
2010.01.01.iran.moussavi,""" When he maintains that 'even if I do n't <issue> a <statement> , the people will take to the streets regardless , ' this shows that even before Ashura , those people took to the streets based on his statements . ",""" When he <e59:maintains> that'even if I do n't <e60:issue> a statement , the people will take to the streets regardless , ' this shows that even before Ashura , those people <e62:took> to the streets <e63:based> on his statements . ",issue causes statement,,,
2010.01.01.iran.moussavi,""" Yours truly and friends are still being told that 'If you do n't issue announcements , the people will not take to the streets and will <stop> demonstrating , making the <return> of calm and stability possible throughout the country , ' "" Moussavi said . ",""" Yours truly and friends are still being <e32:told> that'If you do n't issue announcements , the people will not take to the streets and will <e35:stop> demonstrating , <e37:making> the return of calm and stability possible throughout the country , ' "" Moussavi <e38:said> . ",stop causes return,,,
2010.01.01.iran.moussavi,"Resaei , former commander of the elite Revolutionary Guards , <accused> Moussavi and reformist politicians Mohammad Khatami and Mehdi Karrubi of doing the <bidding> of enemies of Iran , and are therefore "" domestic pawns "" of foreigners . ","Resaei , former commander of the elite Revolutionary Guards , <e72:accused> Moussavi and reformist politicians Mohammad Khatami and Mehdi Karrubi of doing the bidding of enemies of Iran , and are therefore "" domestic pawns "" of foreigners . ",bidding causes accused,,,
2010.01.01.iran.moussavi,"Friday 's statement from Moussavi , posted on his Kaleme.org Web site , was the first since Sunday , when his nephew was <killed> in <protests> . ","Friday 's statement from Moussavi , <e27:posted> on his Kaleme.org Web site , was the first since Sunday , when his nephew was <e28:killed> in protests . ",protests causes killed,,,
2010.01.01.iran.moussavi,""" When he maintains that 'even if I do n't issue a <statement> , the people will take to the streets regardless , ' this shows that even before Ashura , those people took to the streets based on his statements .  "" Moussavi has thereby accepted that he has <issued> statements even before this , based on which people took to the streets . ",""" When he <e59:maintains> that'even if I do n't <e60:issue> a statement , the people will take to the streets regardless , ' this shows that even before Ashura , those people <e62:took> to the streets <e63:based> on his statements .  "" Moussavi has thereby <e64:accepted> that he has <e65:issued> statements even before this , <e66:based> on which people <e67:took> to the streets . ",issued causes statement,,,
2010.01.01.iran.moussavi,"Moussavi <seeks> changes in election laws to <make> the voting process more transparent , the release of all political prisoners , freedom of the press and for the government to recognize "" the legitimate right of the people to congregate legally . "" ",""" Moussavi <e52:seeks> changes in election laws to make the voting process more transparent , the release of all political prisoners , freedom of the press and for the government to recognize "" the legitimate right of the people to congregate legally . ",make causes seeks,,,
2010.01.01.iran.moussavi,""" Until a crisis is <recognized> as such , there will be no way to <resolve> it . "" ",""" Until a crisis is <e50:recognized> as such , there will be no way to resolve it . ",recognized causes resolve,,,
2010.01.01.iran.moussavi,"Moussavi had addressed anti-government demonstrations Sunday in which at least seven protesters were <killed> , and warned that reformist sentiments wo n't disappear despite government attempts to silence them .  The Iranian government denies that any of the deaths were caused by official security forces , but the <clashes> -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries , including some with apparent gunshot wounds -- appear to tell a different story . ","Moussavi had <e5:addressed> anti-government demonstrations Sunday in which at least seven protesters were <e6:killed> , and <e7:warned> that reformist sentiments wo n't disappear despite government attempts to silence them .  The Iranian government <e10:denies> that any of the deaths were <e11:caused> by official security forces , but the clashes -- <e12:depicted> in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries , including some with apparent gunshot wounds -- appear to <e14:tell> a different story . ",clashes causes killed,e6,e10,before
2010.01.02.pakistan.attacks,"Eight houses in the neighborhood <collapsed> , and the <blast> was felt miles away , the police chief said . ","Eight houses in the neighborhood <e19:collapsed> , and the blast was <e20:felt> miles away , the police chief <e21:said> . ",blast causes collapsed,e19,e20,before
2010.01.02.pakistan.attacks,"Thirty-six others who were <injured> in the <attack> remained hospitalized Sunday , said Mohammed Ayub Khan , police chief of the Lakki Marwat district . ","Thirty-six others who were <e5:injured> in the attack <e6:remained> <e7:hospitalized> Sunday , <e8:said> Mohammed Ayub Khan , police chief of the Lakki Marwat district . ",attack causes injured,e5,e7,before
2010.01.02.pakistan.attacks,"The area <used> to be a hub for militants before the military <flushed> them out about two months ago , the chief said . ","The area used to be a hub for militants before the military <e29:flushed> them out about two months ago , the chief <e30:said> . ",used causes flushed,,,
2010.01.02.pakistan.attacks,"The death toll climbed to 99 on Sunday after a suicide car bomb <exploded> Friday in the middle of a group of men playing volleyball in northwest Pakistan , police said .  Thirty-six others who were injured in the <attack> remained hospitalized Sunday , said Mohammed Ayub Khan , police chief of the Lakki Marwat district . ","The death toll <e1:climbed> to 99 on Sunday after a suicide car bomb <e2:exploded> Friday in the middle of a group of men <e3:playing> volleyball in northwest Pakistan , police <e4:said> .  Thirty-six others who were <e5:injured> in the attack <e6:remained> <e7:hospitalized> Sunday , <e8:said> Mohammed Ayub Khan , police chief of the Lakki Marwat district . ",attack causes exploded,e2,e1,before
2010.01.03.japan.jal.airlines.ft,"The government asked the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , met to <discuss> how Tokyo could further <support> the ailing airline . ","The government <e4:asked> the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , <e6:met> to <e7:discuss> how Tokyo could further support the ailing airline . ",support causes discuss,e6,e7,before
2010.01.03.japan.jal.airlines.ft,"The government asked the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , <met> to discuss how Tokyo could further <support> the ailing airline . ","The government <e4:asked> the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , <e6:met> to <e7:discuss> how Tokyo could further support the ailing airline . ",support causes met,e7,e4,before
2010.01.03.japan.jal.airlines.ft,"The government <asked> the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , met to discuss how Tokyo could further <support> the ailing airline . ","The government <e4:asked> the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , <e6:met> to <e7:discuss> how Tokyo could further support the ailing airline . ",support causes asked,,,
2010.01.03.japan.jal.airlines.ft,"JAL 's shares have been <battered> by fears that the carrier would be forced to seek court-administered rehabilitation .  The shares <fell> to a record low of ¥ 60 and finished at ¥ 67 last Wednesday , before the market closed for the New Year holidays . ","JAL 's shares have been <e16:battered> by fears that the carrier would be <e17:forced> to <e18:seek> court-administered rehabilitation .  The shares fell to a record low of ¥ 60 and finished at ¥ 67 last Wednesday , before the market closed for the New Year holidays .",battered causes fell,"e17, e18","e16, e16","after, after"
2010.01.03.japan.jal.airlines.ft,"The government <asked> the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , met to discuss how Tokyo could further support the ailing airline .  The DBJ , which is 100-per cent owned by the Japanese government , said it would <consider> the request and come to a decision as soon as possible "" in order to cooperate with the safe operation "" of the carrier . ","The government <e4:asked> the Development Bank of Japan ( DBJ ) to raise its commitment facility to JAL after ministers including Seiji Maehara , transport minister , and Naoto Kan , deputy prime minister , <e6:met> to <e7:discuss> how Tokyo could further support the ailing airline .  The DBJ , which is 100-per cent owned by the Japanese government , <e10:said> it would consider the request and come to a decision as soon as possible "" in order to cooperate with the safe operation "" of the carrier . ",asked causes consider,,,
2010.01.06.tennis.qatar.federer.nadal,Roger Federer and Rafael Nadal are on course to <meet> in the final of the Qatar Open after both <came> through their second-round matches on Wednesday . ,Roger Federer and Rafael Nadal are on course to meet in the final of the Qatar Open after both <e2:came> through their second-round matches on Wednesday . ,came causes meet,,,
2010.01.07.water.justice,"The United Nations estimates that by 2025 , two-thirds of the population will be <affected> by scarcities .  Those shortages are already the source of local and regional <conflict> . ","The United Nations <e24:estimates> that by 2025 , two-thirds of the population will be <e25:affected> by scarcities .  Those shortages are already the source of local and regional conflict .",affected causes conflict,,,
2010.01.07.water.justice,""" When you <add> the for-profit motive into water supplies , some people are <going> to die , "" Barlow told CNN 's Christiane Amanpour Thursday . ",""" When you <e4:add> the for-profit motive into water supplies , some people are going to die , "" Barlow <e6:told> CNN 's Christiane Amanpour Thursday . ",add causes going,,,
2010.01.07.water.justice,"The <debate> over how to alleviate those shortages has <intensified> in recent years , pitching advocates of privatization programs against those who say water is a public good and that its collection and distribution should remain in the public sector . ","The debate over how to alleviate those shortages has <e29:intensified> in recent years , <e30:pitching> advocates of privatization programs against those who <e31:say> water is a public good and that its collection and distribution should remain in the public sector . ",debate causes intensified,,,
2010.01.07.water.justice,""" When you <add> the for-profit motive into water supplies , some people are going to <die> , "" Barlow told CNN 's Christiane Amanpour Thursday . ",""" When you <e4:add> the for-profit motive into water supplies , some people are going to die , "" Barlow <e6:told> CNN 's Christiane Amanpour Thursday . ",add causes die,,,
2010.01.07.water.justice,"The debate over how to <alleviate> those shortages has intensified in recent years , <pitching> advocates of privatization programs against those who say water is a public good and that its collection and distribution should remain in the public sector . ","The debate over how to alleviate those shortages has <e29:intensified> in recent years , <e30:pitching> advocates of privatization programs against those who <e31:say> water is a public good and that its collection and distribution should remain in the public sector . ",alleviate causes pitching,,,
2010.01.07.water.justice,"From Argentina to Bolivia , and from the Philippines to the United States , the conviction that the private sector <offers> a 'magic bullet' for <unleashing> the equity and efficiency needed to accelerate progress towards water for all has proven to be misplaced . "" ","From Argentina to Bolivia , and from the Philippines to the United States , the conviction that the private sector <e37:offers> a'magic bullet' for unleashing the equity and efficiency <e39:needed> to accelerate progress towards water for all has <e41:proven> to be <e42:misplaced> . ",offers causes unleashing,,,
2010.01.07.water.justice,"A third of the world 's population is <suffering> from water <shortages> , according to the International Water Management Institute . ",""" A third of the world 's population is <e22:suffering> from water shortages , according to the International Water Management Institute . ",shortages causes suffering,,,
2010.01.07.water.justice,"Every eight seconds , somewhere in the world a child <dies> from waterborne diseases because the parents cannot <afford> clean water , according to Maude Barlow , founder of the Blue Planet Project . ","Every eight seconds , somewhere in the world a child dies from waterborne diseases because the parents cannot <e2:afford> clean water , according to Maude Barlow , founder of the Blue Planet Project . ",afford causes dies,,,
2010.01.07.water.justice,"From Argentina to Bolivia , and from the Philippines to the United States , the conviction that the private sector offers a 'magic bullet' for <unleashing> the equity and efficiency needed to <accelerate> progress towards water for all has proven to be misplaced . "" ","From Argentina to Bolivia , and from the Philippines to the United States , the conviction that the private sector <e37:offers> a'magic bullet' for unleashing the equity and efficiency <e39:needed> to accelerate progress towards water for all has <e41:proven> to be <e42:misplaced> . ",unleashing causes accelerate,,,
2010.01.07.water.justice,""" The reality is that there is more demand than supply , and the increase in demand and decrease in supply is <growing> , so it <makes> a big difference how we 're going to decide who 's going to allocate water . "" ",""" The reality is that there is more demand than supply , and the increase in demand and decrease in supply is <e17:growing> , so it makes a big difference how we 're going to <e19:decide> who 's going to allocate water . ",growing causes makes,e17,e19,before
2010.01.07.winter.weather,""" If we do n't <rescue> them , they 'll <end> up expiring . "" ",""" If we do n't <e57:rescue> them , they 'll end up expiring . ",rescue causes end,,,
2010.01.07.winter.weather,"Florida Fish &amp; Wildlife officers have rescued 120 sea turtles after water temperatures in the 40s <shocked> their tropically inclined systems , according to CNN affiliate WPBF .  "" Their bodies are <shutting> down because they 're too cold , "" Karrie Minch of the Merritt Island National Wildlife Refuge told WPBF . ","Florida Fish & Wildlife officers have <e52:rescued> 120 sea turtles after water temperatures in the 40s <e53:shocked> their tropically inclined systems , according to CNN affiliate WPBF .  "" Their bodies are shutting down because they 're too cold , "" Karrie Minch of the Merritt Island National Wildlife Refuge <e56:told> WPBF . ",shocked causes shutting,e53,e52,before
2010.01.07.winter.weather,A <dusting> of snow in Atlanta on Thursday night <left> roads slick after two weeks of below normal temperatures . ,A dusting of snow in Atlanta on Thursday night <e40:left> roads slick after two weeks of below normal temperatures . ,dusting causes left,,,
2010.01.07.winter.weather,The arctic <blast> that began last weekend has been <blamed> for at least seven deaths across the nation . ,The arctic blast that <e15:began> last weekend has been <e16:blamed> for at least seven deaths across the nation . ,blast causes blamed,,,
2010.01.07.winter.weather,"Florida Fish &amp; Wildlife officers have <rescued> 120 sea turtles after water temperatures in the 40s shocked their tropically inclined systems , according to CNN affiliate WPBF .  "" Their bodies are <shutting> down because they 're too cold , "" Karrie Minch of the Merritt Island National Wildlife Refuge told WPBF . ","Florida Fish & Wildlife officers have <e52:rescued> 120 sea turtles after water temperatures in the 40s <e53:shocked> their tropically inclined systems , according to CNN affiliate WPBF .  "" Their bodies are shutting down because they 're too cold , "" Karrie Minch of the Merritt Island National Wildlife Refuge <e56:told> WPBF . ",shutting causes rescued,,,
2010.01.07.winter.weather,Chicago 's Midway Airport and Newark International Airport in New Jersey also reported <delays> .  Those bottlenecks were <affecting> flights at many other international airports . ,Chicago 's Midway Airport and Newark International Airport in New Jersey also <e6:reported> delays .  Those bottlenecks were <e7:affecting> flights at many other international airports . ,delays causes affecting,,,
2010.01.07.winter.weather,Gov. Charlie Crist <issued> an order Tuesday aimed at helping farmers salvage what they can by <lifting> weight limits on trucks so already-harvested crops can more easily reach markets . ,Gov. Charlie Crist <e45:issued> an order Tuesday <e46:aimed> at helping farmers salvage what they can by lifting weight limits on trucks so already-harvested crops can more easily reach markets . ,lifting causes issued,,,
2010.01.07.winter.weather,"Snow and ice <dealt> a major <blow> to U.S. air travel Thursday , while much of the nation shivered from record low temperatures . ","Snow and ice <e1:dealt> a major blow to U.S. air travel Thursday , while much of the nation <e2:shivered> from record low temperatures . ",dealt causes blow,,,
2010.01.12.uk.islamist.group.ban,"According to the law , groups can be <banned> if they <commit> or participate in terrorism ; prepare for terrorism ; or promote or encourage terrorism . ","According to the law , groups can be <e67:banned> if they commit or <e69:participate> in terrorism ; prepare for terrorism ; or promote or encourage terrorism . ",commit causes banned,e69,e67,before
2010.01.12.uk.islamist.group.ban,"The proscription does not <need> approval by Parliament , because it is <considered> an amendment to the act , said the Home Office spokeswoman , who did not give her name in line with policy . ","The proscription does not need approval by Parliament , because it is <e16:considered> an amendment to the act , <e17:said> the Home Office spokeswoman , who did not give her name in line with policy . ",considered causes need,,,
2010.01.12.uk.islamist.group.ban,""" We are clear that an organization should not be able to <circumvent> proscription by simply <changing> its name , "" Johnson said . ",""" We are clear that an organization should not be able to circumvent proscription by simply <e21:changing> its name , "" Johnson <e22:said> . ",changing causes circumvent,,,
2010.01.12.uk.islamist.group.ban,"The Terrorism Act 2000 gives the home secretary the power to <ban> groups if the punishment is "" proportionate and based on evidence that a group is <concerned> in terrorism as defined in the Terrorism Act 2000 , "" according to the Home Office . ","The Terrorism Act 2000 <e60:gives> the home secretary the power to ban groups if the punishment is "" proportionate and <e62:based> on evidence that a group is <e63:concerned> in terrorism as <e64:defined> in the Terrorism Act 2000 , "" according to the Home Office . ",concerned causes ban,,,
2010.01.12.uk.islamist.group.ban,Choudary 's <proposal> to march empty coffins through the streets <drew> fury and outrage . ,Choudary 's proposal to march empty coffins through the streets <e50:drew> fury and outrage . ,proposal causes drew,,,
2010.01.12.uk.islamist.group.ban,"Johnson said the ban would now also <apply> to "" a number "" of the other names the group goes by .  The proscription does not need approval by Parliament , because it is <considered> an amendment to the act , said the Home Office spokeswoman , who did not give her name in line with policy . ","Johnson <e11:said> the ban would now also apply to "" a number "" of the other names the group <e14:goes> by .  The proscription does not need approval by Parliament , because it is <e16:considered> an amendment to the act , <e17:said> the Home Office spokeswoman , who did not give her name in line with policy . ",considered causes apply,,,
2010.01.12.uk.islamist.group.ban,"The Home Office had said the <march> would be illegal if the group were <banned> , but the decision to proscribe the group was not caused only by its plans for the march , the Home Office said . ","The Home Office had <e51:said> the march would be illegal if the group were <e52:banned> , but the decision to proscribe the group was not caused only by its plans for the march , the Home Office <e55:said> . ",banned causes march,,,
2010.01.12.uk.islamist.group.ban,"According to the law , groups can be <banned> if they commit or participate in terrorism ; prepare for terrorism ; or promote or <encourage> terrorism . ","According to the law , groups can be <e67:banned> if they commit or <e69:participate> in terrorism ; prepare for terrorism ; or promote or encourage terrorism . ",encourage causes banned,,,
2010.01.12.uk.islamist.group.ban,"The <ban> would <prevent> Al-Muhajiroun from having meetings or raising money , and it would make attending a meeting or being a member of the group a crime . ","The ban would <e23:prevent> Al-Muhajiroun from having meetings or raising money , and it would <e25:make> <e26:attending> a meeting or being a member of the group a crime . ",ban causes prevent,,,
2010.01.12.uk.islamist.group.ban,"According to the law , groups can be <banned> if they commit or participate in terrorism ; prepare for terrorism ; or <promote> or encourage terrorism . ","According to the law , groups can be <e67:banned> if they commit or <e69:participate> in terrorism ; prepare for terrorism ; or promote or encourage terrorism . ",promote causes banned,,,
2010.01.12.uk.islamist.group.ban,"The group 's leader , controversial British Muslim cleric Anjem Choudary , had threatened to <stage> a march in the town of Wootton Bassett as a <protest> against the war in Afghanistan . ","The group 's leader , controversial British Muslim cleric Anjem Choudary , had <e28:threatened> to stage a march in the town of Wootton Bassett as a protest against the war in Afghanistan . ",protest causes stage,,,
2010.01.12.uk.islamist.group.ban,""" We 're not going to <stop> because the government <bans> an organization , "" he told CNN by phone . ",""" We 're not going to stop because the government <e34:bans> an organization , "" he <e36:told> CNN by phone . ",bans causes stop,,,
2010.01.12.uk.islamist.group.ban,"The group 's leader , controversial British Muslim cleric Anjem Choudary , had <threatened> to stage a march in the town of Wootton Bassett as a <protest> against the war in Afghanistan . ","The group 's leader , controversial British Muslim cleric Anjem Choudary , had <e28:threatened> to stage a march in the town of Wootton Bassett as a protest against the war in Afghanistan . ",protest causes threatened,,,
2010.01.12.uk.islamist.group.ban,"The <ban> would prevent Al-Muhajiroun from having meetings or raising money , and it would <make> attending a meeting or being a member of the group a crime . ","The ban would <e23:prevent> Al-Muhajiroun from having meetings or raising money , and it would <e25:make> <e26:attending> a meeting or being a member of the group a crime . ",ban causes make,,,
2010.01.12.uk.islamist.group.ban,"A controversial Muslim group planning to stage an anti-war march through a town that receives British war dead will be <banned> in the UK from Thursday .  British Home Secretary Alan Johnson prepared an order Tuesday <proscribing> Al-Muhajiroun , also known as Islam4UK . ","A controversial Muslim group planning to <e2:stage> an anti-war march through a town that <e3:receives> British war dead will be <e4:banned> in the UK from Thursday .  British Home Secretary Alan Johnson <e5:prepared> an order Tuesday proscribing Al-Muhajiroun , also <e6:known> as Islam4UK . ",proscribing causes banned,e3,e2,before
2010.01.12.uk.islamist.group.ban,"According to the law , groups can be <banned> if they commit or participate in terrorism ; <prepare> for terrorism ; or promote or encourage terrorism . ","According to the law , groups can be <e67:banned> if they commit or <e69:participate> in terrorism ; prepare for terrorism ; or promote or encourage terrorism . ",prepare causes banned,,,
2010.01.13.haiti.un.mission,"As many as 150 members of the U.N. mission in Haiti remained unaccounted for Wednesday afternoon following an <earthquake> that <inflicted> massive damage on the Caribbean nation 's capital , U.N. officials said Wednesday . ","As many as 150 members of the U.N. mission in Haiti <e1:remained> unaccounted for Wednesday afternoon following an earthquake that <e2:inflicted> massive damage on the Caribbean nation 's capital , U.N. officials <e3:said> Wednesday . ",earthquake causes inflicted,e2,e1,before
2010.01.13.haiti.un.mission,"Read more about the <devastation> "" The first priority is search and rescue because many people ... are <trapped> under the rubble . ","Read more about the devastation "" The first priority is search and rescue because many people ... are <e34:trapped> under the rubble . ",devastation causes trapped,,,
2010.01.13.haiti.un.mission,"Read more about the devastation "" The first priority is <search> and rescue because many people ... are <trapped> under the rubble . ","Read more about the devastation "" The first priority is search and rescue because many people ... are <e34:trapped> under the rubble . ",trapped causes search,,,
2010.01.13.haiti.un.mission,"The five-story headquarters of the U.N. peacekeeping and civilian assistance mission <collapsed> during the magnitude 7.0 <earthquake> that struck Port-au-Prince on Tuesday , and peacekeepers were working to clear away the rubble Wednesday . ","The five-story headquarters of the U.N. peacekeeping and civilian assistance mission <e4:collapsed> during the magnitude 7.0 earthquake that <e5:struck> Port-au-Prince on Tuesday , and peacekeepers were <e6:working> to <e7:clear> away the rubble Wednesday . ",earthquake causes collapsed,"e5, e6, e4","e4, e7, e7","before, before, before"
2010.01.13.haiti.un.mission,"Read more about the devastation "" The first priority is search and <rescue> because many people ... are <trapped> under the rubble . ","Read more about the devastation "" The first priority is search and rescue because many people ... are <e34:trapped> under the rubble . ",trapped causes rescue,,,
2010.01.13.haiti.un.mission,"As many as 150 members of the U.N. mission in Haiti remained unaccounted for Wednesday afternoon following an earthquake that <inflicted> massive damage on the Caribbean nation 's capital , U.N. officials said Wednesday .  The five-story headquarters of the U.N. peacekeeping and civilian assistance mission collapsed during the magnitude 7.0 <earthquake> that struck Port-au-Prince on Tuesday , and peacekeepers were working to clear away the rubble Wednesday . ","As many as 150 members of the U.N. mission in Haiti <e1:remained> unaccounted for Wednesday afternoon following an earthquake that <e2:inflicted> massive damage on the Caribbean nation 's capital , U.N. officials <e3:said> Wednesday .  The five-story headquarters of the U.N. peacekeeping and civilian assistance mission <e4:collapsed> during the magnitude 7.0 earthquake that <e5:struck> Port-au-Prince on Tuesday , and peacekeepers were <e6:working> to <e7:clear> away the rubble Wednesday . ",earthquake causes inflicted,,,
2010.01.13.haiti.un.mission,""" I think the World Food Programme is already <sending> in 90 metric tons of high-energy biscuits to <start> the process . "" ",""" I <e45:think> the World Food Programme is already <e46:sending> in 90 metric tons of high-energy biscuits to start the process . ",start causes sending,,,
2010.01.13.haiti.un.mission,"As many as 150 members of the U.N. mission in Haiti remained unaccounted for Wednesday afternoon following an earthquake that inflicted massive <damage> on the Caribbean nation 's capital , U.N. officials said Wednesday .  The five-story headquarters of the U.N. peacekeeping and civilian assistance mission collapsed during the magnitude 7.0 earthquake that <struck> Port-au-Prince on Tuesday , and peacekeepers were working to clear away the rubble Wednesday . ","As many as 150 members of the U.N. mission in Haiti <e1:remained> unaccounted for Wednesday afternoon following an earthquake that <e2:inflicted> massive damage on the Caribbean nation 's capital , U.N. officials <e3:said> Wednesday .  The five-story headquarters of the U.N. peacekeeping and civilian assistance mission <e4:collapsed> during the magnitude 7.0 earthquake that <e5:struck> Port-au-Prince on Tuesday , and peacekeepers were <e6:working> to <e7:clear> away the rubble Wednesday . ",struck causes damage,,,
2010.01.18.sherlock.holmes.tourism.london,""" Even if a small percentage of those come to <visit> Britain as a result of this particular film , that 's going to have a huge <boost> in some of those tourism attractions featured in our promotion . "" ",""" Even if a small percentage of those come to <e9:visit> Britain as a result of this particular film , that 's going to have a huge boost in some of those tourism attractions featured in our promotion . ",visit causes boost,,,
