"docid","paragraphid","sentenceid","tokenid","token","pos"
"2010.01.01.iran.moussavi","0","3","5","Sunday","NNP"
"2010.01.01.iran.moussavi","0","3","6",",",","
"2010.01.01.iran.moussavi","0","3","7","according","VBG"
"2010.01.01.iran.moussavi","0","3","8","to","TO"
"2010.01.01.iran.moussavi","0","3","9","the","DT"
"2010.01.01.iran.moussavi","0","3","10","posting","VBG"
"2010.01.01.iran.moussavi","0","3","11","on","IN"
"2010.01.01.iran.moussavi","0","3","12","the","DT"
"2010.01.01.iran.moussavi","0","3","13","Web","NNP"
"2010.01.01.iran.moussavi","0","3","14","site","NN"
"2010.01.01.iran.moussavi","0","3","15","YouTube","NNP"
"2010.01.01.iran.moussavi","0","3","16","--",":"
"2010.01.01.iran.moussavi","0","3","17","green-and-white","JJ"
"2010.01.01.iran.moussavi","0","3","18","police","NN"
"2010.01.01.iran.moussavi","0","3","19","trucks","NNS"
"2010.01.01.iran.moussavi","0","3","20","speed","NN"
"2010.01.01.iran.moussavi","0","3","21","into","IN"
"2010.01.01.iran.moussavi","0","3","22","crowds","NNS"
"2010.01.01.iran.moussavi","0","3","23","of","IN"
"2010.01.01.iran.moussavi","0","3","24","demonstrators","NNS"
"2010.01.01.iran.moussavi","0","3","25","in","IN"
"2010.01.01.iran.moussavi","0","3","26","Tehran","NNP"
"2010.01.01.iran.moussavi","0","3","27",".","."
"2010.01.01.iran.moussavi","0","4","0","Most","JJS"
"2010.01.01.iran.moussavi","0","4","1","of","IN"
"2010.01.01.iran.moussavi","0","4","2","the","DT"
"2010.01.01.iran.moussavi","0","4","3","protesters","NNS"
"2010.01.01.iran.moussavi","0","4","4","attempt","VBP"
"2010.01.01.iran.moussavi","0","4","5","to","TO"
"2010.01.01.iran.moussavi","0","4","6","scatter","VB"
"2010.01.01.iran.moussavi","0","4","7",",",","
"2010.01.01.iran.moussavi","0","4","8","but","CC"
"2010.01.01.iran.moussavi","0","4","9","one","CD"
"2010.01.01.iran.moussavi","0","4","10","truck","NN"
"2010.01.01.iran.moussavi","0","4","11","drives","NNS"
"2010.01.01.iran.moussavi","0","4","12","into","IN"
"2010.01.01.iran.moussavi","0","4","13","a","DT"
"2010.01.01.iran.moussavi","0","4","14","group","NN"
"2010.01.01.iran.moussavi","0","4","15","trapped","VBN"
"2010.01.01.iran.moussavi","0","4","16","in","IN"
"2010.01.01.iran.moussavi","0","4","17","a","DT"
"2010.01.01.iran.moussavi","0","4","18","narrow","JJ"
"2010.01.01.iran.moussavi","0","4","19","street","NN"
"2010.01.01.iran.moussavi","0","4","20",".","."
"2010.01.01.iran.moussavi","0","5","0","As","IN"
"2010.01.01.iran.moussavi","0","5","1","the","DT"
"2010.01.01.iran.moussavi","0","5","2","truck","NN"
"2010.01.01.iran.moussavi","0","5","3","backs","NNS"
"2010.01.01.iran.moussavi","0","5","4","away","RB"
"2010.01.01.iran.moussavi","0","5","5",",",","
"2010.01.01.iran.moussavi","0","5","6","one","CD"
"2010.01.01.iran.moussavi","0","5","7","person","NN"
"2010.01.01.iran.moussavi","0","5","8","can","MD"
"2010.01.01.iran.moussavi","0","5","9","be","VB"
"2010.01.01.iran.moussavi","0","5","10","seen","VBN"
"2010.01.01.iran.moussavi","0","5","11","crumpled","JJ"
"2010.01.01.iran.moussavi","0","5","12","in","IN"
"2010.01.01.iran.moussavi","0","5","13","the","DT"
"2010.01.01.iran.moussavi","0","5","14","street","NN"
"2010.01.01.iran.moussavi","0","5","15","where","WRB"
"2010.01.01.iran.moussavi","0","5","16","it","PRP"
"2010.01.01.iran.moussavi","0","5","17","had","VBD"
"2010.01.01.iran.moussavi","0","5","18","been","VBN"
"2010.01.01.iran.moussavi","0","5","19",".","."
"2010.01.01.iran.moussavi","0","6","0","When","WRB"
"2010.01.01.iran.moussavi","0","6","1","the","DT"
"2010.01.01.iran.moussavi","0","6","2","camera","NN"
"2010.01.01.iran.moussavi","0","6","3","returns","NNS"
"2010.01.01.iran.moussavi","0","6","4","to","TO"
"2010.01.01.iran.moussavi","0","6","5","the","DT"
"2010.01.01.iran.moussavi","0","6","6","spot","NN"
"2010.01.01.iran.moussavi","0","6","7",",",","
"2010.01.01.iran.moussavi","0","6","8","another","DT"
"2010.01.01.iran.moussavi","0","6","9","truck","NN"
"2010.01.01.iran.moussavi","0","6","10","drives","VBZ"
"2010.01.01.iran.moussavi","0","6","11","over","IN"
"2010.01.01.iran.moussavi","0","6","12","the","DT"
"2010.01.01.iran.moussavi","0","6","13","person","NN"
"2010.01.01.iran.moussavi","0","6","14",",",","
"2010.01.01.iran.moussavi","0","6","15","whose","WP$"
"2010.01.01.iran.moussavi","0","6","16","fate","NN"
"2010.01.01.iran.moussavi","0","6","17","is","VBZ"
"2010.01.01.iran.moussavi","0","6","18","unclear","JJ"
"2010.01.01.iran.moussavi","0","6","19",".","."
"2010.01.01.iran.moussavi","0","7","0","CNN","NNP"
"2010.01.01.iran.moussavi","0","7","1","cannot","NN"
"2010.01.01.iran.moussavi","0","7","2","independently","RB"
"2010.01.01.iran.moussavi","0","7","3","verify","VB"
"2010.01.01.iran.moussavi","0","7","4","the","DT"
"2010.01.01.iran.moussavi","0","7","5","validity","NN"
"2010.01.01.iran.moussavi","0","7","6","of","IN"
"2010.01.01.iran.moussavi","0","7","7","the","DT"
"2010.01.01.iran.moussavi","0","7","8","videos","NNS"
"2010.01.01.iran.moussavi","0","7","9",".","."
"2010.01.01.iran.moussavi","0","8","0","Friday","NNP"
"2010.01.01.iran.moussavi","0","8","1","'s","POS"
"2010.01.01.iran.moussavi","0","8","2","statement","NN"
"2010.01.01.iran.moussavi","0","8","3","from","IN"
"2010.01.01.iran.moussavi","0","8","4","Moussavi","NNP"
"2010.01.01.iran.moussavi","0","8","5",",",","
"2010.01.01.iran.moussavi","0","8","6","posted","VBN"
"2010.01.01.iran.moussavi","0","8","7","on","IN"
"2010.01.01.iran.moussavi","0","8","8","his","PRP$"
"2010.01.01.iran.moussavi","0","8","9","Kaleme.org","NNP"
"2010.01.01.iran.moussavi","0","8","10","Web","NNP"
"2010.01.01.iran.moussavi","0","8","11","site","NN"
"2010.01.01.iran.moussavi","0","8","12",",",","
"2010.01.01.iran.moussavi","0","8","13","was","VBD"
"2010.01.01.iran.moussavi","0","8","14","the","DT"
"2010.01.01.iran.moussavi","0","8","15","first","JJ"
"2010.01.01.iran.moussavi","0","8","16","since","IN"
"2010.01.01.iran.moussavi","0","8","17","Sunday","NNP"
"2010.01.01.iran.moussavi","0","8","18",",",","
"2010.01.01.iran.moussavi","0","8","19","when","WRB"
"2010.01.01.iran.moussavi","0","8","20","his","PRP$"
"2010.01.01.iran.moussavi","0","8","21","nephew","NN"
"2010.01.01.iran.moussavi","0","8","22","was","VBD"
"2010.01.01.iran.moussavi","0","8","23","killed","VBN"
"2010.01.01.iran.moussavi","0","8","24","in","IN"
"2010.01.01.iran.moussavi","0","8","25","protests","NNS"
"2010.01.01.iran.moussavi","0","8","26",".","."
"2010.01.01.iran.moussavi","0","9","0","The","DT"
"2010.01.01.iran.moussavi","0","9","1","protests","VBZ"
"2010.01.01.iran.moussavi","0","9","2","--",":"
"2010.01.01.iran.moussavi","0","9","3","on","IN"
"2010.01.01.iran.moussavi","0","9","4","the","DT"
"2010.01.01.iran.moussavi","0","9","5","Shiite","JJ"
"2010.01.01.iran.moussavi","0","9","6","Muslim","NNP"
"2010.01.01.iran.moussavi","0","9","7","holy","JJ"
"2010.01.01.iran.moussavi","0","9","8","day","NN"
"2010.01.01.iran.moussavi","0","9","9","Ashura","NN"
"2010.01.01.iran.moussavi","0","9","10","--",":"
"2010.01.01.iran.moussavi","0","9","11","were","VBD"
"2010.01.01.iran.moussavi","0","9","12","the","DT"
"2010.01.01.iran.moussavi","0","9","13","deadliest","JJS"
"2010.01.01.iran.moussavi","0","9","14","since","IN"
"2010.01.01.iran.moussavi","0","9","15","opposition","NN"
"2010.01.01.iran.moussavi","0","9","16","Iranians","NNPS"
"2010.01.01.iran.moussavi","0","9","17","took","VBD"
"2010.01.01.iran.moussavi","0","9","18","to","TO"
"2010.01.01.iran.moussavi","0","9","19","the","DT"
"2010.01.01.iran.moussavi","0","9","20","streets","NNS"
"2010.01.01.iran.moussavi","0","9","21","after","IN"
"2010.01.01.iran.moussavi","0","9","22","the","DT"
"2010.01.01.iran.moussavi","0","9","23","disputed","VBN"
"2010.01.01.iran.moussavi","0","9","24","June","NNP"
"2010.01.01.iran.moussavi","0","9","25","12","CD"
"2010.01.01.iran.moussavi","0","9","26","presidential","JJ"
"2010.01.01.iran.moussavi","0","9","27","election","NN"
"2010.01.01.iran.moussavi","0","9","28",".","."
"2010.01.01.iran.moussavi","0","10","0","At","IN"
"2010.01.01.iran.moussavi","0","10","1","least","JJS"
"2010.01.01.iran.moussavi","0","10","2","eight","CD"
"2010.01.01.iran.moussavi","0","10","3","people","NNS"
"2010.01.01.iran.moussavi","0","10","4","were","VBD"
"2010.01.01.iran.moussavi","0","10","5","killed","VBN"
"2010.01.01.iran.moussavi","0","10","6","during","IN"
"2010.01.01.iran.moussavi","0","10","7","those","DT"
"2010.01.01.iran.moussavi","0","10","8","protests","NNS"
"2010.01.01.iran.moussavi","0","10","9",".","."
"2010.01.01.iran.moussavi","0","11","0","""","``"
"2010.01.01.iran.moussavi","0","11","1","Yours","NNP"
"2010.01.01.iran.moussavi","0","11","2","truly","RB"
"2010.01.01.iran.moussavi","0","11","3","and","CC"
"2010.01.01.iran.moussavi","0","11","4","friends","NNS"
"2010.01.01.iran.moussavi","0","11","5","are","VBP"
"2010.01.01.iran.moussavi","0","11","6","still","RB"
"2010.01.01.iran.moussavi","0","11","7","being","VBG"
"2010.01.01.iran.moussavi","0","11","8","told","VBN"
"2010.01.01.iran.moussavi","0","11","9","that","IN"
"2010.01.01.iran.moussavi","0","11","10","'If","NN"
"2010.01.01.iran.moussavi","0","11","11","you","PRP"
"2010.01.01.iran.moussavi","0","11","12","do","VBP"
"2010.01.01.iran.moussavi","0","11","13","n't","RB"
"2010.01.01.iran.moussavi","0","11","14","issue","VB"
"2010.01.01.iran.moussavi","0","11","15","announcements","NNS"
"2010.01.01.iran.moussavi","0","11","16",",",","
"2010.01.01.iran.moussavi","0","11","17","the","DT"
"2010.01.01.iran.moussavi","0","11","18","people","NNS"
"2010.01.01.iran.moussavi","0","11","19","will","MD"
"2010.01.01.iran.moussavi","0","11","20","not","RB"
"2010.01.01.iran.moussavi","0","11","21","take","VB"
"2010.01.01.iran.moussavi","0","11","22","to","TO"
"2010.01.01.iran.moussavi","0","11","23","the","DT"
"2010.01.01.iran.moussavi","0","11","24","streets","NNS"
"2010.01.01.iran.moussavi","0","11","25","and","CC"
"2010.01.01.iran.moussavi","0","11","26","will","MD"
"2010.01.01.iran.moussavi","0","11","27","stop","VB"
"2010.01.01.iran.moussavi","0","11","28","demonstrating","VBG"
"2010.01.01.iran.moussavi","0","11","29",",",","
"2010.01.01.iran.moussavi","0","11","30","making","VBG"
"2010.01.01.iran.moussavi","0","11","31","the","DT"
"2010.01.01.iran.moussavi","0","11","32","return","NN"
"2010.01.01.iran.moussavi","0","11","33","of","IN"
"2010.01.01.iran.moussavi","0","11","34","calm","NN"
"2010.01.01.iran.moussavi","0","11","35","and","CC"
"2010.01.01.iran.moussavi","0","11","36","stability","NN"
"2010.01.01.iran.moussavi","0","11","37","possible","JJ"
"2010.01.01.iran.moussavi","0","11","38","throughout","IN"
"2010.01.01.iran.moussavi","0","11","39","the","DT"
"2010.01.01.iran.moussavi","0","11","40","country","NN"
"2010.01.01.iran.moussavi","0","11","41",",",","
"2010.01.01.iran.moussavi","0","11","42","'","''"
"2010.01.01.iran.moussavi","0","11","43","""","''"
"2010.01.01.iran.moussavi","0","11","44","Moussavi","NNP"
"2010.01.01.iran.moussavi","0","11","45","said","VBD"
"2010.01.01.iran.moussavi","0","11","46",".","."
"2010.01.01.iran.moussavi","0","12","0","""","``"
"2010.01.01.iran.moussavi","0","12","1","I","PRP"
"2010.01.01.iran.moussavi","0","12","2","do","VBP"
"2010.01.01.iran.moussavi","0","12","3","not","RB"
"2010.01.01.iran.moussavi","0","12","4","agree","VB"
"2010.01.01.iran.moussavi","0","12","5","with","IN"
"2010.01.01.iran.moussavi","0","12","6","these","DT"
"2010.01.01.iran.moussavi","0","12","7","opinions","NNS"
"2010.01.01.iran.moussavi","0","12","8",",",","
"2010.01.01.iran.moussavi","0","12","9","and","CC"
"2010.01.01.iran.moussavi","0","12","10","I","PRP"
"2010.01.01.iran.moussavi","0","12","11","think","VBP"
"2010.01.01.iran.moussavi","0","12","12","that","IN"
"2010.01.01.iran.moussavi","0","12","13","until","IN"
"2010.01.01.iran.moussavi","0","12","14","such","JJ"
"2010.01.01.iran.moussavi","0","12","15","time","NN"
"2010.01.01.iran.moussavi","0","12","16","that","IN"
"2010.01.01.iran.moussavi","0","12","17","the","DT"
"2010.01.01.iran.moussavi","0","12","18","needed","VBN"
"2010.01.01.iran.moussavi","0","12","19","reforms","NNS"
"2010.01.01.iran.moussavi","0","12","20","...",":"
"2010.01.01.iran.moussavi","0","12","21","can","MD"
"2010.01.01.iran.moussavi","0","12","22","be","VB"
"2010.01.01.iran.moussavi","0","12","23","extricated","VBN"
"2010.01.01.iran.moussavi","0","12","24","from","IN"
"2010.01.01.iran.moussavi","0","12","25","the","DT"
"2010.01.01.iran.moussavi","0","12","26","constitution","NN"
"2010.01.01.iran.moussavi","0","12","27","...",":"
"2010.01.01.iran.moussavi","0","12","28","what","WP"
"2010.01.01.iran.moussavi","0","12","29","has","VBZ"
"2010.01.01.iran.moussavi","0","12","30","been","VBN"
"2010.01.01.iran.moussavi","0","12","31","lost","VBN"
"2010.01.01.iran.moussavi","0","12","32","will","MD"
"2010.01.01.iran.moussavi","0","12","33","not","RB"
"2010.01.01.iran.moussavi","0","12","34","be","VB"
"2010.01.01.iran.moussavi","0","12","35","restored","VBN"
"2010.01.01.iran.moussavi","0","12","36",",",","
"2010.01.01.iran.moussavi","0","12","37","""","''"
"2010.01.01.iran.moussavi","0","12","38","he","PRP"
"2010.01.01.iran.moussavi","0","12","39","added","VBD"
"2010.01.01.iran.moussavi","0","12","40",".","."
"2010.01.01.iran.moussavi","0","13","0","""","``"
"2010.01.01.iran.moussavi","0","13","1","I","PRP"
"2010.01.01.iran.moussavi","0","13","2","have","VBP"
"2010.01.01.iran.moussavi","0","13","3","no","DT"
"2010.01.01.iran.moussavi","0","13","4","fear","NN"
"2010.01.01.iran.moussavi","0","13","5","of","IN"
"2010.01.01.iran.moussavi","0","13","6","being","VBG"
"2010.01.01.iran.moussavi","0","13","7","one","CD"
"2010.01.01.iran.moussavi","0","13","8","of","IN"
"2010.01.01.iran.moussavi","0","13","9","the","DT"
"2010.01.01.iran.moussavi","0","13","10","martyrs","NN"
"2010.01.01.iran.moussavi","0","13","11","that","IN"
"2010.01.01.iran.moussavi","0","13","12","the","DT"
"2010.01.01.iran.moussavi","0","13","13","people","NNS"
"2010.01.01.iran.moussavi","0","13","14","of","IN"
"2010.01.01.iran.moussavi","0","13","15","this","DT"
"2010.01.01.iran.moussavi","0","13","16","nation","NN"
"2010.01.01.iran.moussavi","0","13","17","have","VBP"
"2010.01.01.iran.moussavi","0","13","18","offered","VBN"
"2010.01.01.iran.moussavi","0","13","19",",",","
"2010.01.01.iran.moussavi","0","13","20","on","IN"
"2010.01.01.iran.moussavi","0","13","21","the","DT"
"2010.01.01.iran.moussavi","0","13","22","path","NN"
"2010.01.01.iran.moussavi","0","13","23","of","IN"
"2010.01.01.iran.moussavi","0","13","24","reaching","VBG"
"2010.01.01.iran.moussavi","0","13","25","their","PRP$"
"2010.01.01.iran.moussavi","0","13","26","religious","JJ"
"2010.01.01.iran.moussavi","0","13","27","and","CC"
"2010.01.01.iran.moussavi","0","13","28","national","JJ"
"2010.01.01.iran.moussavi","0","13","29","rights","NNS"
"2010.01.01.iran.moussavi","0","13","30",",",","
"2010.01.01.iran.moussavi","0","13","31","and","CC"
"2010.01.01.iran.moussavi","0","13","32","my","PRP$"
"2010.01.01.iran.moussavi","0","13","33","blood","NN"
"2010.01.01.iran.moussavi","0","13","34","will","MD"
"2010.01.01.iran.moussavi","0","13","35","not","RB"
"2010.01.01.iran.moussavi","0","13","36","be","VB"
"2010.01.01.iran.moussavi","0","13","37","any","DT"
"2010.01.01.iran.moussavi","0","13","38","redder","JJR"
"2010.01.01.iran.moussavi","0","13","39","than","IN"
"2010.01.01.iran.moussavi","0","13","40","the","DT"
"2010.01.01.iran.moussavi","0","13","41","blood","NN"
"2010.01.01.iran.moussavi","0","13","42","of","IN"
"2010.01.01.iran.moussavi","0","13","43","the","DT"
"2010.01.01.iran.moussavi","0","13","44","other","JJ"
"2010.01.01.iran.moussavi","0","13","45","martyrs","NN"
"2010.01.01.iran.moussavi","0","13","46",",",","
"2010.01.01.iran.moussavi","0","13","47","""","''"
"2010.01.01.iran.moussavi","0","13","48","Moussavi","NNP"
"2010.01.01.iran.moussavi","0","13","49","said","VBD"
"2010.01.01.iran.moussavi","0","13","50",".","."
"2010.01.01.iran.moussavi","0","14","0","""","``"
"2010.01.01.iran.moussavi","0","14","1","Until","IN"
"2010.01.01.iran.moussavi","0","14","2","a","DT"
"2010.01.01.iran.moussavi","0","14","3","crisis","NN"
"2010.01.01.iran.moussavi","0","14","4","is","VBZ"
"2010.01.01.iran.moussavi","0","14","5","recognized","VBN"
"2010.01.01.iran.moussavi","0","14","6","as","IN"
"2010.01.01.iran.moussavi","0","14","7","such","JJ"
"2010.01.01.iran.moussavi","0","14","8",",",","
"2010.01.01.iran.moussavi","0","14","9","there","EX"
"2010.01.01.iran.moussavi","0","14","10","will","MD"
"2010.01.01.iran.moussavi","0","14","11","be","VB"
"2010.01.01.iran.moussavi","0","14","12","no","DT"
"2010.01.01.iran.moussavi","0","14","13","way","NN"
"2010.01.01.iran.moussavi","0","14","14","to","TO"
"2010.01.01.iran.moussavi","0","14","15","resolve","VB"
"2010.01.01.iran.moussavi","0","14","16","it","PRP"
"2010.01.01.iran.moussavi","0","14","17",".","."
"2010.01.01.iran.moussavi","0","14","18","""","''"
"2010.01.01.iran.moussavi","0","15","0","Moussavi","NNP"
"2010.01.01.iran.moussavi","0","15","1","seeks","VBZ"
"2010.01.01.iran.moussavi","0","15","2","changes","NNS"
"2010.01.01.iran.moussavi","0","15","3","in","IN"
"2010.01.01.iran.moussavi","0","15","4","election","NN"
"2010.01.01.iran.moussavi","0","15","5","laws","NNS"
"2010.01.01.iran.moussavi","0","15","6","to","TO"
"2010.01.01.iran.moussavi","0","15","7","make","VB"
"2010.01.01.iran.moussavi","0","15","8","the","DT"
"2010.01.01.iran.moussavi","0","15","9","voting","NN"
"2010.01.01.iran.moussavi","0","15","10","process","NN"
"2010.01.01.iran.moussavi","0","15","11","more","RBR"
"2010.01.01.iran.moussavi","0","15","12","transparent","JJ"
"2010.01.01.iran.moussavi","0","15","13",",",","
"2010.01.01.iran.moussavi","0","15","14","the","DT"
"2010.01.01.iran.moussavi","0","15","15","release","NN"
"2010.01.01.iran.moussavi","0","15","16","of","IN"
"2010.01.01.iran.moussavi","0","15","17","all","DT"
"2010.01.01.iran.moussavi","0","15","18","political","JJ"
"2010.01.01.iran.moussavi","0","15","19","prisoners","NNS"
"2010.01.01.iran.moussavi","0","15","20",",",","
"2010.01.01.iran.moussavi","0","15","21","freedom","NN"
"2010.01.01.iran.moussavi","0","15","22","of","IN"
"2010.01.01.iran.moussavi","0","15","23","the","DT"
"2010.01.01.iran.moussavi","0","15","24","press","NN"
"2010.01.01.iran.moussavi","0","15","25","and","CC"
"2010.01.01.iran.moussavi","0","15","26","for","IN"
"2010.01.01.iran.moussavi","0","15","27","the","DT"
"2010.01.01.iran.moussavi","0","15","28","government","NN"
"2010.01.01.iran.moussavi","0","15","29","to","TO"
"2010.01.01.iran.moussavi","0","15","30","recognize","VB"
"2010.01.01.iran.moussavi","0","15","31","""","``"
"2010.01.01.iran.moussavi","0","15","32","the","DT"
"2010.01.01.iran.moussavi","0","15","33","legitimate","JJ"
"2010.01.01.iran.moussavi","0","15","34","right","NN"
"2010.01.01.iran.moussavi","0","15","35","of","IN"
"2010.01.01.iran.moussavi","0","15","36","the","DT"
"2010.01.01.iran.moussavi","0","15","37","people","NNS"
"2010.01.01.iran.moussavi","0","15","38","to","TO"
"2010.01.01.iran.moussavi","0","15","39","congregate","VB"
"2010.01.01.iran.moussavi","0","15","40","legally","RB"
"2010.01.01.iran.moussavi","0","15","41",".","."
"2010.01.01.iran.moussavi","0","15","42","""","''"
"2010.01.01.iran.moussavi","0","16","0","Ayatollah","NNP"
"2010.01.01.iran.moussavi","0","16","1","Resaei","NNP"
"2010.01.01.iran.moussavi","0","16","2",",",","
